,user_id,rt_count,user_name
494, 791297382461935616,6,irishfeedback
495, 90772822,6,GeneralDeekay
496, 1010769116,6,anteneh_berhane
497, 75839893,6,kittyhundal
498, 206206413,6,vanellia630
499, 2952226919,6,partynxs
500, 950700468317184001,6,Pacifica_Oc3An
501, 815653795694866432,6,arzu8134
502, 306250902,6,robcaro1
503, 850425172268118017,6,SolrosP
504, 828827762974654464,6,CichockiCandice
505, 918401420570824706,6,LuisMig28093066
506, 399217464,6,Terchoun8
507, 1025136772928479233,6,hasan20187
508, 825652863896584192,6,AbdirizakDige
509, 2984280598,6,UNSNUK
510, 246456469,6,go5pak
511, 3074602328,6,VijayPasalkar75
512, 1248154546242834433,6,barrio_new
513, 1376701752,6,EdenCandiceden4
514, 1252269725742239744,6,Ammar41630531
515, 1115076362677547008,6,StarchyArchie
516, 2822325656,6,malikumair047
517, 781500950116794368,6,CubanWindow
518, 1076546781423562752,6,zanycat007
519, 529232944,6,ibrahimjanab
520, 4258245558,6,avinash_mailme
521, 437642826,6,Dennispills
522, 1126472362847817728,6,Al29434039
523, 34266989,6,irinamow
524, 972373748715343872,6,HardBoiledFilms
525, 402063995,6,SlagKogel
526, 104131539,6,akarim426
527, 20003443,6,wiganshale
528, 1901929326,6,ReyndersKim
529, 1006507288948027393,6,RealMcQuoy
530, 930476891512942594,6,sambii_king
531, 888919400144699392,6,Putin_Potatoes
532, 563473311,6,zombieloni
533, 18169329,6,mytweetmark
534, 1158919762040066048,6,Gohahwei1
535, 1016018605907906560,6,oilngas007
536, 1246759630375727111,6,2020Wsm
537, 64400897,6,wongai1968
538, 731753429782036480,6,YourAnonRiots
539, 268920554,6,amirhimself
540, 47431423,6,aklen
541, 836621622,6,buttercity
542, 1209035949096591360,5,JohnTur63967925
543, 417907898,5,66mulla
544, 1156225273928527872,5,LuigiF97101292
545, 634017287,5,kershaw_martin
546, 1062763281054662656,5,NUCLEARCRISIS16
547, 534102664,5,oraciel
548, 1251567655305326597,5,SyedRam74942409
549, 848626596927987712,5,soltysik_rob
550, 1894409275,5,GustikPiestany
551, 764664612243386368,5,lathanrugham
552, 1000038557665320960,5,cryptoalcon
553, 1152822375567654912,5,emm_downunder
554, 1207138933894717440,5,AngelHe33778004
555, 1206247366971547648,5,Mashiach_
556, 761213348339978240,5,LynnBai78368361
557, 1236186973028511744,5,ARTB881
558, 114891603,5,persiatx
559, 792182467797016577,5,TimBurk89339590
560, 2544546576,5,TC_133
561, 330121916,5,hiroruki17
562, 2496647126,5,A31X64Vijay
563, 876390648794034177,5,Palanimani11
564, 1065188750626439168,5,high_bread
565, 784070965,5,hash27178496
566, 1236584962851299328,5,Prabhakahand
567, 1163076187683295233,5,rishabhkdubey1
568, 2373243142,5,ejahania
569, 231677991,5,hackerunited
570, 390354600,5,uzohak
571, 3289030090,5,jrvmsucre
572, 990519410082418688,5,ofmonsters_1
573, 969649850,5,smajeed64
574, 85136516,5,sergimagugliani
575, 747787326596710400,5,KazzyStevens
576, 1145853367,5,kulioma3000
577, 169388909,5,_Aware_Citizen
578, 83377889,5,sarathrajan999
579, 1217089767604617216,5,D9V1TR9Q8h6yRBC
580, 245957521,5,KAYDM49
581, 157568244,5,BibleApocalypse
582, 1226620425636995077,5,kampreet_ngimpi
583, 1226801534412914688,5,Nonnepossopi1
584, 80933998,5,sinefo
585, 172437103,5,Habbash
586, 1119026596537602049,5,A2DL1
587, 2444646074,5,KSmth2000
588, 2875942756,5,GTSCR
589, 209990420,5,good_mum
590, 356560894,5,karimaDivine
591, 2854093078,5,meade_tyronne
592, 1205839820934828032,5,BlueEyeDevil992
593, 339534214,5,MikeArgi
594, 704749051749609472,5,SerekeWelat
595, 1203148312594927618,5,1959Somosomo
596, 1460929602,5,s_rewritten
597, 3878263835,5,DIN18599
598, 1220524883395911686,5,intercemptation
599, 91857249,5,hasan1968
600, 73347417,5,haustring
601, 1188203977948717057,5,DolapoAndre
602, 1175432790919303172,5,Henriqu37341046
603, 1249426103644467200,5,khanshoaib991
604, 2876860387,5,Real_JanMRamzan
605, 2291511561,5,FM_BluAce
